organism_name	assembly_accession	assembly_level	fragmentation	genome_size_mb	gc_percent	contig_count	contig_n50_kb	scaffold_n50_kb
Colletotrichum abscissum	GCF_030869225.1	Scaffold	Moderate	53.936108	51	565	962.862	962.862
Colletotrichum acutatum	GCA_057627645.1	Scaffold	Moderate	50.555966	51.5	120	718.963	1215.904
Colletotrichum adenophorae	GCA_058130455.1	Scaffold	Moderate	48.440355	51	421	244.637	280.821
Colletotrichum aenigma	GCF_013390185.1	Contig	Low	59.189926	52.5	79	5181.253	5181.253
Colletotrichum agaves	GCA_036785465.1	Contig	High	71.384446	40.5	10921	73.877	73.877
Colletotrichum asianum	GCA_009806415.1	Scaffold	Moderate	64.731264	49.5	501	381.785	389.703
Colletotrichum australisinense (nom. inval.)	GCA_014706365.1	Contig	Low	55.304262	51.5	28	5698.484	5698.484
Colletotrichum baiyuense	GCA_058130435.1	Scaffold	Moderate	50.452817	53.5	953	186.805	194.084
Colletotrichum brevisporum	GCA_030770045.1	Contig	Low	62.659034	49	18	7932.807	7932.807
Colletotrichum camelliae	GCA_011947485.2	Scaffold	Moderate	57.798682	49.5	706	162.123	198.072
Colletotrichum cangyuanense	GCA_056956895.1	Scaffold	High	58.375145	52.5	1721	112.03	112.631
Colletotrichum casaense	GCA_058130395.1	Scaffold	High	50.297763	53.5	1548	132.416	136.006
Colletotrichum caudatum	GCA_030867225.1	Scaffold	High	44.202764	55	1630	62.71	94.998
Colletotrichum cereale	GCA_060231475.1	Complete Genome	Low	57.980704	53	13	5437.37	5437.37
Colletotrichum chlorophyti	GCA_001937105.1	Scaffold	High	52.387045	50	3613	164.384	644.295
Colletotrichum chrysophilum	GCA_031006325.1	Scaffold	Moderate	55.557938	53.5	1536	85.481	86.538
Colletotrichum cliviicola	GCA_026119605.1	Contig	Low	52.051982	55.5	9	6464.197	6464.197
Colletotrichum coccodes	GCA_002249775.1	Scaffold	Moderate	50.121991	54	827	294.833	342.28
Colletotrichum cordylinicola	GCA_027406065.1	Contig	Low	61.624325	49.5	20	5282.153	5282.153
Colletotrichum costaricense	GCF_030867565.1	Scaffold	Low	51.625248	51.5	73	2423.109	2423.109
Colletotrichum cuscutae	GCA_030869315.1	Scaffold	Moderate	80.453496	41.5	326	514.068	514.068
Colletotrichum demersi	GCA_056956775.1	Scaffold	Moderate	53.649156	52.5	755	537.969	561.899
Colletotrichum destructivum	GCF_034447905.1	Complete Genome	Low	51.750812	54.5	12	5290.227	5290.227
Colletotrichum dianense	GCA_058130415.1	Scaffold	Moderate	52.000069	53	677	554.497	581.006
Colletotrichum dimorphum	GCA_058130375.1	Scaffold	Moderate	61.354543	51.5	1052	376.348	388.421
