assembly_accession	organism_name	organism_infraspecific_names_strain	assembly_stats_total_sequence_length	assembly_stats_gc_percent	assembly_stats_number_of_contigs	assembly_stats_contig_n50	assembly_stats_scaffold_n50	assembly_level	assembly_sequencing_tech	assembly_bio_project_accession	assembly_bio_sample_host	assembly_bio_sample_geographic_location	assembly_bio_sample_collection_date	genome_size_mb	gc_percent	contig_count	contig_n50_kb	scaffold_n50_kb	refseq	assembly_priority	fragmentation
GCF_030869225.1	Colletotrichum abscissum	IMI 504890	53936108	51	565	962862	962862	Scaffold	Illumina MiSeq	PRJNA350894	Citrus sinensis	USA: Florida	2000	53.936108	51	565	962.862	962.862	TRUE	2	Moderate
GCA_057627645.1	Colletotrichum acutatum	IMI345574	50555966	51.5	120	718963	1215904	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	New Zealand: Auckland	1991	50.555966	51.5	120	718.963	1215.904	FALSE	2	Moderate
GCA_058130455.1	Colletotrichum adenophorae	CGMCC 3.18952	48440355	51	421	244637	280821	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Lancang county	2016-08	48.440355	51	421	244.637	280.821	FALSE	2	Moderate
GCF_013390185.1	Colletotrichum aenigma	Cg56	59189926	52.5	79	5181253	5181253	Contig	PacBio Sequel	PRJNA476648	strawberry	Japan: Tochigi	1987	59.189926	52.5	79	5181.253	5181.253	TRUE	1	Low
GCA_036785465.1	Colletotrichum agaves	ARM3	71384446	40.5	10921	73877	73877	Contig	DNBSEQ-G400	PRJNA1007928	Agave americana	Japan: Okinawa	2012-03	71.384446	40.5	10921	73.877	73.877	FALSE	1	High
GCA_009806415.1	Colletotrichum asianum	ICMP 18580	64731264	49.5	501	381785	389703	Scaffold	Illumina HiSeq	PRJNA504379	NA	Thailand: Chiang Mai	2007-12-12	64.731264	49.5	501	381.785	389.703	FALSE	2	Moderate
GCA_014706365.1	Colletotrichum australisinense (nom. inval.)	GX1655	55304262	51.5	28	5698484	5698484	Contig	Oxford Nanopore GridION	PRJNA597926	Hevea brasiliensis	China: Guangxi	2016-06	55.304262	51.5	28	5698.484	5698.484	FALSE	1	Low
GCA_058130435.1	Colletotrichum baiyuense	CGMCC 3.18941	50452817	53.5	953	186805	194084	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan Province, Baiyu county, Tibetan Autonomous Prefecture of Garz	2015-08	50.452817	53.5	953	186.805	194.084	FALSE	2	Moderate
GCA_030770045.1	Colletotrichum brevisporum	C1	62659034	49	18	7932807	7932807	Contig	Illumina NovaSeq; Oxford Nanopore PromethION	PRJNA978983	NA	China: Guangzhou	2023-02-01	62.659034	49	18	7932.807	7932.807	FALSE	1	Low
GCA_011947485.2	Colletotrichum camelliae	CcLH18	57798682	49.5	706	162123	198072	Scaffold	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12	57.798682	49.5	706	162.123	198.072	FALSE	2	Moderate
