Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats GC Percent	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Level	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date
GCF_030869225.1	Colletotrichum abscissum	IMI 504890	53936108	51	565	962862	962862	Scaffold	Illumina MiSeq	PRJNA350894	Citrus sinensis	USA: Florida	2000
GCA_023376855.1	Colletotrichum abscissum	Ca142	54001896	51	488	275403	321765	Scaffold	Illumina MiSeq	PRJNA516018	Citrus sinensis	Brazil: Sao Paulo, Santa Cruz do Rio Pardo	2008
GCA_030869225.1	Colletotrichum abscissum	IMI 504890	53936108	51	565	962862	962862	Scaffold	Illumina MiSeq	PRJNA350894	Citrus sinensis	USA: Florida	2000
GCA_047371005.1	Colletotrichum abscissum	LW-VAL-2A	53602113	51	50	4528207	4528207	Contig	PacBio RSII	PRJNA687367	Citrus sinensis	USA: Lake Wales, Polk County, Florida	2016
GCF_030867785.1	Colletotrichum acutatum	CBS 112980	49057477	52	389	299511	299511	Contig	PacBio	PRJNA334354	not applicable	missing	missing
GCA_001662755.1	Colletotrichum acutatum	C71	44919977	51.5	9732	12423	37362	Scaffold	Illumina HiScan SQ	PRJNA314187	Olea europaea	Italy: Apulia	2012-11-03
GCA_019022555.1	Colletotrichum acutatum	hn1205-2	51601721	52	1394	166800	215683	Scaffold	Illumina HiSeq	PRJNA690880	Hevea brasiliensis Muell.-Arg	China:Danzhou	2012-05
GCA_020457905.1	Colletotrichum acutatum	42883	49697799	52	1879	62028	62028	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2001
GCA_020457915.1	Colletotrichum acutatum	42878	49531067	52.5	2061	59120	59120	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	1997
GCA_020457925.1	Colletotrichum acutatum	42879	49885583	52	2026	63304	63304	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	1998
GCA_020458275.1	Colletotrichum acutatum	42877	48338876	52.5	2034	50472	50472	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2001
GCA_020458295.1	Colletotrichum acutatum	42876	49423995	52	2072	54853	54853	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2001
GCA_020458395.1	Colletotrichum acutatum	42866	48359785	52.5	1922	51413	51413	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	1997
GCA_020464265.1	Colletotrichum acutatum	42871	49331692	52	2677	52895	52895	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2001
GCA_020464275.1	Colletotrichum acutatum	42870	48361109	52.5	2289	49385	49385	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2000
GCA_020464295.1	Colletotrichum acutatum	42869	48502718	53	2156	46979	46979	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2000
GCA_020465715.1	Colletotrichum acutatum	42868	49422277	52.5	2109	57243	57243	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2000
GCA_020465735.1	Colletotrichum acutatum		51203636	51.5	2868	46261	46261	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2018
GCA_020465745.1	Colletotrichum acutatum		50225064	51.5	3422	35498	35498	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2018
GCA_020465775.1	Colletotrichum acutatum		50496501	51.5	284	628759	628759	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465795.1	Colletotrichum acutatum		50469302	51.5	474	447385	447385	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465815.1	Colletotrichum acutatum		51018208	51.5	396	493744	493744	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465835.1	Colletotrichum acutatum		50496057	51.5	194	571668	571668	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465855.1	Colletotrichum acutatum		51057129	51.5	451	475364	475364	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465875.1	Colletotrichum acutatum		51025733	51.5	464	613842	613842	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465895.1	Colletotrichum acutatum	43374	50870935	51.5	365	523865	523865	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2019
GCA_020465915.1	Colletotrichum acutatum	42867	49045639	52.5	2015	54790	54790	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2000
GCA_020465945.1	Colletotrichum acutatum	42875	49335525	52	2339	49989	49989	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	2001
GCA_021124905.1	Colletotrichum acutatum	83	49749514	53	1998	146146	146146	Contig	Illumina MiSeq	PRJNA779114	strawberry	USA: California	2015-07-15
GCA_030867785.1	Colletotrichum acutatum	CBS 112980	49057477	52	389	299511	299511	Contig	PacBio	PRJNA334354	not applicable	missing	missing
GCA_037954465.1	Colletotrichum acutatum	L51	51824279	51.5	484	526679	648050	Scaffold	Illumina NovaSeq	PRJNA1060634	Pyrus communis	Italy: Emilia-Romagna	2023-02
GCA_040760105.1	Colletotrichum acutatum	COL14	51835763	51.5	29	3276623	3276623	Contig	Illumina NextSeq; Oxford Nanopore MinION	PRJNA1036424		Italy:Viterbo	2022
GCA_049998925.1	Colletotrichum acutatum		50728502	52.5	2352	183304	185457	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Bunn	2009
